Approved Symbol	Approved Name	Previous Symbols	Synonyms	Name Synonyms	Pubmed IDs	CCDS IDs	UniProt ID(supplied by UniProt)
ACOT13	acyl-CoA thioesterase 13	THEM2	HT012		16934754, 19405909	CCDS4558, CCDS54972	Q9NPJ3
ACOX1	acyl-CoA oxidase 1, palmitoyl		PALMCOX		8159712	CCDS11734, CCDS11735	Q15067
ACOX2	acyl-CoA oxidase 2, branched chain		BRCACOX, BRCOX, THCCox	"trihydroxycoprostanoyl-CoA oxidase", "3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA 24-hydroxylase"	8943006, 9070889	CCDS33775	Q99424
ACOX3	acyl-CoA oxidase 3, pristanoyl				9271077	CCDS3401, CCDS47017	O15254
ACOXL	acyl-CoA oxidase-like		FLJ11042			CCDS46389	Q9NUZ1
ACP1	acid phosphatase 1, soluble		HAAP, LMW-PTP	"acid phosphatase of erythrocyte", "low molecular weight phosphotyrosine protein phosphatase", "red cell acid phosphatase"	457131, 1587862, 8586411	CCDS1639, CCDS1640, CCDS46217	P24666
ACP2	acid phosphatase 2, lysosomal		LAP	"lysosomal acid phosphatase"	975882	CCDS7928, CCDS76402, CCDS76403, CCDS76404	P11117
ACP5	acid phosphatase 5, tartrate resistant		TRAP, HPAP	"tartrate-resistant acid phosphatase", "human purple acid phosphatase"	8449511, 2338077	CCDS12265	P13686
ACP6	acid phosphatase 6, lysophosphatidic		LPAP, ACPL1	"lysophosphatidic acid phosphatase"	12010880, 10506173	CCDS928	Q9NPH0
ACPP	acid phosphatase, prostate		ACP3, ACP-3, PAP	"prostatic acid phosphatase"	1375464, 2842184	CCDS3073, CCDS46916, CCDS77818	P15309
ACPT	acid phosphatase, testicular			"testicular acid phosphatase"	11414767	CCDS12802	Q9BZG2
ACR	acrosin			"preproacrosin", "acrosin light and heavy chain prepropeptide"	2298447, 12398221	CCDS14101	P10323
ACRBP	acrosin binding protein		SP32, OY-TES-1, CT23	"proacrosin binding protein sp32", "cancer/testis antigen 23"	11248070	CCDS8554	Q8NEB7
ACRC	acidic repeat containing					CCDS35326	Q96QF7
ACRV1	acrosomal vesicle protein 1		SPACA2, SP-10, D11S4365	"sperm protein 10"	1693291, 8288254	CCDS8460, CCDS8461, CCDS44759, CCDS44761	P26436
ACSBG1	acyl-CoA synthetase bubblegum family member 1		BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG	"bubblegum", "very long-chain acyl-CoA synthetase", "lipidosin"	9734811, 10954726	CCDS10298	Q96GR2
ACSBG2	acyl-CoA synthetase bubblegum family member 2		BGR, PRTD-NY3, DKFZp434K1635	"bubblegum related protein"	11230166	CCDS12159, CCDS74269	Q5FVE4
ACSF2	acyl-CoA synthetase family member 2		FLJ20920, ACSMW		17762044	CCDS11567, CCDS74103, CCDS74104, CCDS74105	Q96CM8
ACSF3	acyl-CoA synthetase family member 3			"malonyl-CoA synthetase"	17762044, 21846720	CCDS10974, CCDS73926	Q4G176
ACSL1	acyl-CoA synthetase long-chain family member 1	FACL2	LACS2, LACS, ACS1, LACS1, FACL1	"lignoceroyl-CoA synthase", "long-chain fatty-acid-coenzyme A ligase 1"	2341402, 1531127	CCDS3839, CCDS68825, CCDS68826, CCDS75213	P33121
ACSL3	acyl-CoA synthetase long-chain family member 3	FACL3	ACS3, PRO2194			CCDS2455	O95573
ACSL4	acyl-CoA synthetase long-chain family member 4	FACL4, MRX63, MRX68	ACS4, LACS4	"lignoceroyl-CoA synthase", " long-chain fatty-acid-Coenzyme A ligase 4"	9480748, 12949969	CCDS14548, CCDS14549	O60488
ACSL5	acyl-CoA synthetase long-chain family member 5	FACL5	ACS5, ACS2	"FACL5 for fatty acid coenzyme A ligase 5", "long-chain acyl-CoA synthetase 5", "long-chain fatty acid coenzyme A ligase 5", "fatty-acid-Coenzyme A ligase, long-chain 5"	11127823	CCDS7572, CCDS7573	Q9ULC5
ACSL6	acyl-CoA synthetase long-chain family member 6	FACL6	KIAA0837, ACS2, LACS5, LACS2		10502316, 10548543	CCDS34228, CCDS34229, CCDS56381, CCDS56382, CCDS56383	Q9UKU0
ACSM1	acyl-CoA synthetase medium-chain family member 1	BUCS1	MACS1		11470804, 12654705	CCDS10587	Q08AH1
ACSM2A	acyl-CoA synthetase medium-chain family member 2A	ACSM2	A-923A4.1, MGC150530			CCDS32401, CCDS76838	Q08AH3
ACSM2B	acyl-CoA synthetase medium-chain family member 2B	ACSM2	HXMA, HYST1046	"xenobiotic/medium chain fatty acid:CoA ligase"	12616642	CCDS10586	Q68CK6
ACSM3	acyl-CoA synthetase medium-chain family member 3	SAH	SA		7843754, 7907320, 11470804	CCDS10589, CCDS45435	Q53FZ2
ACSM4	acyl-CoA synthetase medium-chain family member 4			"similar to olfactory specific medium-chain acyl CoA synthetase"	17762044	CCDS44825	P0C7M7
ACSM5	acyl-CoA synthetase medium-chain family member 5		FLJ20581		17762044	CCDS10585	Q6NUN0
ACSM5P1	acyl-CoA synthetase medium-chain family member 5 pseudogene 1						
ACSM6	acyl-CoA synthetase medium-chain family member 6	C10orf129	bA310E22.3		23884467	CCDS7440	Q6P461
ACSS1	acyl-CoA synthetase short-chain family member 1	ACAS2L	dJ568C11.3, AceCS2L, MGC33843			CCDS13167, CCDS58764, CCDS58765	Q9NUB1
ACSS2	acyl-CoA synthetase short-chain family member 2	ACAS2	ACS, ACSA, AceCS, dJ1161H23.1		10843999	CCDS13243, CCDS42868, CCDS42868	Q9NR19
ACSS3	acyl-CoA synthetase short-chain family member 3		FLJ21963		17762044	CCDS9022	Q9H6R3
ACTA1	actin, alpha 1, skeletal muscle	ACTA	NEM3	"nemaline myopathy type 3"	10072583, 6865942	CCDS1578	P68133
ACTA2	actin, alpha 2, smooth muscle, aorta		ACTSA		2398629	CCDS7392	P62736
ACTA2-AS1	ACTA2 antisense RNA 1		uc001kfo.1, ZXF1		24721325		
ACTB	actin, beta				1505215	CCDS5341	P60709
ACTBL2	actin, beta-like 2		DKFZp686D0972			CCDS34163	Q562R1
ACTBP1	actin, beta pseudogene 1						
ACTBP2	actin, beta pseudogene 2				3837182		
ACTBP3	actin, beta pseudogene 3				3837182		
ACTBP4	actin, beta pseudogene 4				3837182		
ACTBP6	actin, beta pseudogene 6						
ACTBP7	actin, beta pseudogene 7				6296793, 6571702		
ACTBP8	actin, beta pseudogene 8		ACTBP2		6296793		
ACTBP9	actin, beta pseudogene 9				8941379		
ACTBP10	actin, beta pseudogene 10						
ACTBP11	actin, beta pseudogene 11						
ACTBP12	actin, beta pseudogene 12	ACTGP5					
ACTBP13	actin, beta pseudogene 13						
ACTBP14	actin, beta pseudogene 14						
ACTC1	actin, alpha, cardiac muscle 1	ACTC	CMD1R		1639426	CCDS10041	P68032
ACTG1	actin gamma 1	ACTG, DFNA20, DFNA26			14684684	CCDS11782	P63261
ACTG1P1	actin gamma 1 pseudogene 1	ACTGP1, ACT1GP1					
ACTG1P2	actin gamma 1 pseudogene 2	ACTL2, ACTGP2					
ACTG1P3	actin gamma 1 pseudogene 3	ACTGP3			8941379		
ACTG1P4	actin gamma 1 pseudogene 4	ACTGP4			1692956		
ACTG1P6	actin gamma 1 pseudogene 6	ACTGP6			1692956		
ACTG1P7	actin gamma 1 pseudogene 7	ACTGP7			1692956		
ACTG1P8	actin gamma 1 pseudogene 8	ACTGP8			1692956		
ACTG1P9	actin gamma 1 pseudogene 9	ACTGP9					
ACTG1P10	actin gamma 1 pseudogene 10	ACTL1, ACTGP10			6592095		
ACTG1P11	actin gamma 1 pseudogene 11						
ACTG1P12	actin gamma 1 pseudogene 12						
ACTG1P13	actin gamma 1 pseudogene 13						
ACTG1P14	actin gamma 1 pseudogene 14						
ACTG1P15	actin gamma 1 pseudogene 15						
ACTG1P16	actin gamma 1 pseudogene 16						
ACTG1P17	actin gamma 1 pseudogene 17						
ACTG1P18	actin gamma 1 pseudogene 18						
ACTG1P19	actin gamma 1 pseudogene 19						
ACTG1P20	actin gamma 1 pseudogene 20						
ACTG1P21	actin gamma 1 pseudogene 21						
ACTG1P22	actin gamma 1 pseudogene 22						
ACTG1P23	actin gamma 1 pseudogene 23						
ACTG1P24	actin gamma 1 pseudogene 24	POTENP					
ACTG2	actin, gamma 2, smooth muscle, enteric	ACTL3, ACTA3	ACTSG		1710027, 1673027	CCDS1930, CCDS56124	P63267
ACTL6A	actin-like 6A		Actl6, BAF53A, Arp4, Baf53a, INO80K	"BAF complex 53 kDa subunit", "BRG1-associated factor", "actin-related protein 4", "INO80 complex subunit K"	9845365, 10380635	CCDS3231, CCDS43174	O96019
ACTL6B	actin-like 6B	ACTL6	BAF53B		9799793	CCDS5702	O94805
ACTL7A	actin-like 7A				10373328	CCDS6772	Q9Y615
ACTL7B	actin-like 7B		Tact1		10373328, 12907721	CCDS6771	Q9Y614
ACTL8	actin-like 8		CT57	"cancer/testis antigen 57"		CCDS183	Q9H568
ACTL9	actin-like 9		MGC33407			CCDS12207	Q8TC94
ACTL10	actin-like 10	C20orf134				CCDS33463	Q5JWF8
ACTN1	actinin, alpha 1				2349951	CCDS9792, CCDS45129, CCDS45130	P12814
ACTN1-AS1	ACTN1 antisense RNA 1	C14orf84					
ACTN2	actinin, alpha 2				1339456	CCDS1613, CCDS60455, CCDS73053	P35609
ACTN3	actinin, alpha 3 (gene/pseudogene)				1339456	CCDS76439	Q08043
ACTN4	actinin, alpha 4	FSGS1			9461087, 10700177	CCDS12518	O43707
ACTN4P1	actinin, alpha 4 pseudogene 1						
ACTN4P2	actinin, alpha 4 pseudogene 2						
ACTP1	actin family pseudogene 1						
ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)		ARP1, Arp1A		1528266	CCDS7536	P61163
ACTR1B	ARP1 actin-related protein 1 homolog B, centractin beta (yeast)	CTRN2	Arp1B		7696711, 10343100	CCDS2033	P42025
ACTR2	ARP2 actin-related protein 2 homolog (yeast)		ARP2		9230079	CCDS1881, CCDS46307	P61160
ACTR3	ARP3 actin-related protein 3 homolog (yeast)		ARP3		9230079	CCDS33277, CCDS63000	P61158
ACTR3B	ARP3 actin-related protein 3 homolog B (yeast)		ARP11, ARP3beta		10806390	CCDS5934, CCDS34782	Q9P1U1
ACTR3BP1	ACTR3B pseudogene 1						
ACTR3BP2	ACTR3B pseudogene 2		FKSG73				
ACTR3BP3	ACTR3B pseudogene 3						
ACTR3BP4	ACTR3B pseudogene 4						
ACTR3BP5	ACTR3B pseudogene 5						
ACTR3BP6	ACTR3B pseudogene 6						
ACTR3C	ARP3 actin-related protein 3 homolog C (yeast)		ARP11		11162478, 14651955	CCDS47744	Q9C0K3
ACTR3P1	ACTR3 pseudogene 1						
ACTR3P2	ACTR3 pseudogene 2						
ACTR3P3	ACTR3 pseudogene 3						
ACTR5	ARP5 actin-related protein 5 homolog (yeast)		FLJ12785, Arp5, INO80M	"INO80 complex subunit M"	16230350	CCDS13308	Q9H9F9
ACTR6	ARP6 actin-related protein 6 homolog (yeast)		ARP6, FLJ13433		11368909	CCDS9074	Q9GZN1
ACTR6P1	ACTR6 pseudogene 1						
ACTR8	ARP8 actin-related protein 8 homolog (yeast)		INO80N	"INO80 complex subunit N"	18163988, 16230350	CCDS2875	Q9H981
ACTR10	actin-related protein 10 homolog (S. cerevisiae)		HARP11, ACTR11, Arp11, Arp10		12857853	CCDS32090	Q9NZ32
ACTRT1	actin-related protein T1		AIP1, KIAA0705, ARIP1, Arp-T1		12243744	CCDS14611	Q8TDG2
ACTRT2	actin-related protein T2		Arp-T2, ARPM2, FLJ25424		11750065, 12243744	CCDS45	Q8TDY3
ACTRT3	actin-related protein T3		ARPM1	"actin related protein M1"	11750065, 18692047	CCDS3206	Q9BYD9
ACVR1	activin A receptor, type I	ACVRLK2	SKR1, ALK2, ACVR1A		8397373	CCDS2206	Q04771
ACVR1B	activin A receptor, type IB	ACVRLK4	ALK4, SKR2, ActRIB		8397373	CCDS8816, CCDS44893, CCDS44894, CCDS44893, CCDS44894	P36896
ACVR1C	activin A receptor, type IC		ALK7, ACVRLK7			CCDS2205, CCDS46432, CCDS46433, CCDS46434	Q8NER5
ACVR2A	activin A receptor, type IIA	ACVR2	ACTRII		1314589, 10702675	CCDS33301, CCDS63030	P27037
ACVR2B	activin A receptor, type IIB		ActR-IIB		8161782, 9621519	CCDS2679	Q13705
ACVR2B-AS1	ACVR2B antisense RNA 1						
ACVRL1	activin A receptor type II-like 1	ACVRLK1, ORW2	HHT2, ALK1, HHT		8397373, 8640225	CCDS31804	P37023
ACY1	aminoacylase 1				1707030, 6948533	CCDS2844, CCDS56261, CCDS56262, CCDS56263	Q03154
ACY3	aminoacylase 3		HCBP1, MGC9740, ACY-3	"N-acyl-aromatic-L-amino acid amidohydrolase"	14656720	CCDS8175	Q96HD9
ACYP1	acylphosphatase 1, erythrocyte (common) type				7796909, 9730610	CCDS9838, CCDS76706	P07311
ACYP2	acylphosphatase 2, muscle type				8268218	CCDS1850	P14621
AD5	Alzheimer disease 5				9333264, 10712207		
ADA	adenosine deaminase				6198240, 6090454	CCDS13335	P00813
ADAD1	adenosine deaminase domain containing 1 (testis-specific)		Tenr		7543294, 9541871	CCDS34058, CCDS54800, CCDS54801	Q96M93
ADAD1P1	adenosine deaminase domain containing 1 (testis-specific) pseudogene 1						
ADAD1P2	adenosine deaminase domain containing 1 (testis-specific) pseudogene 2						
ADAD2	adenosine deaminase domain containing 2		TENRL, FLJ00337			CCDS10944, CCDS45536	Q8NCV1
ADAL	adenosine deaminase-like					CCDS32214, CCDS53936	Q6DHV7
ADAM1A	ADAM metallopeptidase domain 1A (pseudogene)	ADAM1	FTNAP, PH-30a, Ftna, ADAM1P	"fertilin alpha"	9032439		
ADAM1B	ADAM metallopeptidase domain 1B (pseudogene)						
ADAM2	ADAM metallopeptidase domain 2	FTNB	PH-30b, PH30, CT15	"cancer/testis antigen 15"	8702389, 9070941	CCDS34884, CCDS64882, CCDS64883	Q99965
ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)	CYRN1	ADAM3, tMDCI		9502432, 11439107		
ADAM3B	ADAM metallopeptidase domain 3B (pseudogene)	CYRN2		"cyritestin 2"	9284909, 9502432, 11439107		
ADAM5	ADAM metallopeptidase domain 5 (pseudogene)	ADAM5P	tMDCII		8786143, 10417343		Q6NVV9
ADAM6	ADAM metallopeptidase domain 6 (pseudogene)	C14orf96	tMDCIV				
ADAM7	ADAM metallopeptidase domain 7		GP-83, EAPI			CCDS6045	Q9H2U9
ADAM8	ADAM metallopeptidase domain 8		CD156, MS2, CD156a		9126482	CCDS31319, CCDS58102, CCDS58103	P78325
ADAM9	ADAM metallopeptidase domain 9	CORD9	MDC9, KIAA0021, MCMP, Mltng	"meltrin gamma"	8647900, 11581183, 19409519	CCDS6112	Q13443
ADAM10	ADAM metallopeptidase domain 10		kuz, MADM, HsT18717, CD156c		9344679, 9441766	CCDS10167	O14672
ADAM11	ADAM metallopeptidase domain 11	MDC		"metalloproteinase-like, disintegrin-like, cysteine-rich protein"	8252040	CCDS11486	O75078
ADAM12	ADAM metallopeptidase domain 12		MCMPMltna, MLTN	"meltrin alpha"	9417060, 18342566	CCDS7653, CCDS7654	O43184
ADAM15	ADAM metallopeptidase domain 15		MDC15	"metargidin"	9516430	CCDS1084, CCDS1085, CCDS1086, CCDS1087, CCDS1088, CCDS44236, CCDS58031, CCDS58032, CCDS60282	Q13444
ADAM17	ADAM metallopeptidase domain 17	TACE	cSVP, CD156B		9034190, 9574564	CCDS1665	P78536
ADAM18	ADAM metallopeptidase domain 18		tMDCIII, ADAM27		12200459	CCDS6113, CCDS55225	Q9Y3Q7
ADAM19	ADAM metallopeptidase domain 19		MLTNB	"meltrin beta"	9806848	CCDS4338	Q9H013
ADAM20	ADAM metallopeptidase domain 20				9469942	CCDS32111	O43506
ADAM20P1	ADAM metallopeptidase domain 20 pseudogene 1	C14orf55					
ADAM20P2	ADAM metallopeptidase domain 20 pseudogene 2						
ADAM20P3	ADAM metallopeptidase domain 20 pseudogene 3						
ADAM21	ADAM metallopeptidase domain 21		ADAM31		9469942	CCDS9804	Q9UKJ8
ADAM21P1	ADAM metallopeptidase domain 21 pseudogene 1	ADAM21P					
ADAM22	ADAM metallopeptidase domain 22		MDC2	"metalloproteinase-like, disintegrin-like, and cysteine-rich protein 2"	9693107, 10524237	CCDS43608, CCDS43609, CCDS43610, CCDS47637	Q9P0K1
ADAM23	ADAM metallopeptidase domain 23		MDC3		9693107	CCDS2369	O75077
ADAM24P	ADAM metallopeptidase domain 24, pseudogene			"a disintegrin and metalloproteinase domain 24"			
ADAM28	ADAM metallopeptidase domain 28		eMDCII, MDC-Lm, MDC-Ls, ADAM23			CCDS34865, CCDS47830	Q9UKQ2
ADAM29	ADAM metallopeptidase domain 29		svph1, CT73	"cancer/testis antigen 73"	10644455	CCDS3823	Q9UKF5
ADAM30	ADAM metallopeptidase domain 30		svph4			CCDS907	Q9UKF2
ADAM32	ADAM metallopeptidase domain 32				12568724	CCDS47846	Q8TC27
ADAM33	ADAM metallopeptidase domain 33	C20orf153	DKFZp434K0521, dJ964F7.1		11814695	CCDS13058, CCDS63219	Q9BZ11
ADAMDEC1	ADAM-like, decysin 1		M12.219		9271581, 12037602	CCDS6044, CCDS55212	O15204
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif, 1		C3-C5, METH1, KIAA1346		10438512	CCDS33524	Q9UHI8
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif, 2		ADAMTS-3, hPCPNI, PCINP, ADAM-TS2, NPI	"procollagen I N-proteinase", "procollagen N-endopeptidase"	10094461, 15373769	CCDS4444, CCDS34311	O95450
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif, 3		KIAA0366, ADAMTS-4		10094461	CCDS3553	O15072
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif, 4		KIAA0688, ADAMTS-2, ADMP-1		10094461	CCDS1223	O75173
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif, 5		ADMP-2, ADAMTS11	"aggrecanase-2"	10438522	CCDS13579	Q9UNA0
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif, 6		ADAM-TS6	"a disintegrin and metalloproteinase with thrombospondin motifs 6"	10464288	CCDS3983	Q9UKP5
ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif, 7		ADAM-TS7, DKFZp434H204	"COMPase", "a disintegrin and metalloprotease with thrombospondin motifs-7 preproprotein"	10464288	CCDS32303	Q9UKP4
ADAMTS7P1	ADAMTS7 pseudogene 1	ADAMTS7P2					
ADAMTS7P3	ADAMTS7 pseudogene 3						
ADAMTS7P4	ADAMTS7 pseudogene 4						
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif, 8		METH2, FLJ41712, ADAM-TS8		10438512	CCDS41732	Q9UP79
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif, 9		KIAA1312		10936055	CCDS2903	Q9P2N4
ADAMTS9-AS1	ADAMTS9 antisense RNA 1						
ADAMTS9-AS2	ADAMTS9 antisense RNA 2				24833086		
ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif, 10		ADAM-TS10			CCDS12206, CCDS62529	Q9H324
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif, 12				11279086	CCDS34140	P58397
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif, 13	C9orf8	VWFCP, TTP, vWF-CP, FLJ42993, MGC118899, MGC118900, DKFZp434C2322		11557746, 11535495	CCDS6970, CCDS6971, CCDS6972	Q76LX8
ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif, 14				11779638	CCDS7306, CCDS7307	Q8WXS8
ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif, 15				11867212	CCDS8488	Q8TE58
ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif, 16		ADAMTS16s		11867212	CCDS43299	Q8TE57
ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif, 17		FLJ32769, FLJ16363		11867212	CCDS10383	Q8TE56
ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif, 18	ADAMTS21			11867212, 17546048	CCDS10926	Q8TE60
ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif, 19				11867212	CCDS4146	Q8TE59
ADAMTS19-AS1	ADAMTS19 antisense RNA 1		RP11-346A9.1				
ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif, 20		GON-1		12514189, 12562771	CCDS31778	P59510
ADAMTSL1	ADAMTS-like 1	C9orf94	ADAMTSR1, FLJ35283	"punctin"	9628581, 11805097	CCDS6485, CCDS47954	Q8N6G6
ADAMTSL2	ADAMTS-like 2		KIAA0605		9628581, 14667842	CCDS6976	Q86TH1
ADAMTSL3	ADAMTS-like 3		KIAA1233, punctin-2		9628581, 10574462	CCDS10326, CCDS73773	P82987
ADAMTSL4	ADAMTS-like 4	TSRC1	DKFZP434K1772		12706885	CCDS955, CCDS30852, CCDS72908	Q6UY14
ADAMTSL4-AS1	ADAMTSL4 antisense RNA 1	C1orf138	FLJ45786				Q5T5F5
ADAMTSL5	ADAMTS-like 5	THSD6				CCDS12071	Q6ZMM2
ADAP1	ArfGAP with dual PH domains 1	CENTA1	GCS1L		10333475	CCDS5318, CCDS64576, CCDS64577, CCDS75558	O75689
ADAP2	ArfGAP with dual PH domains 2	CENTA2				CCDS11261	Q9NPF8
ADAR	adenosine deaminase, RNA-specific	IFI4, G1P1	ADAR1		7972084	CCDS1071, CCDS30879	P55265
ADARB1	adenosine deaminase, RNA-specific, B1		ADAR2, DRADA2, ADAR2g, DRABA2, RED1, hRED1, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2a, ADAR2b, ADAR2c, ADAR2d	"RED1 homolog (rat)"	9143496, 14759252	CCDS33589, CCDS33590, CCDS42970	P78563
ADARB2	adenosine deaminase, RNA-specific, B2 (non-functional)		RED2, hRED2, ADAR3	"RED2 homolog (rat)"	9272162, 10836796	CCDS7058	Q9NS39
ADARB2-AS1	ADARB2 antisense RNA 1	C10orf109, NCRNA00168	bA466B20.1				A8MUL3
ADAT1	adenosine deaminase, tRNA-specific 1				10430867	CCDS10922	Q9BUB4
ADAT2	adenosine deaminase, tRNA-specific 2	DEADC1	dJ20N2.1, TAD2	tRNA-specific adenosine deaminase 2 homolog (S. cerevisiae)	12457566	CCDS43511, CCDS69219	Q7Z6V5
ADAT3	adenosine deaminase, tRNA-specific 3		TAD3	"tRNA-specific adenosine deaminase 3 homolog (S. cerevisiae)"	12457566	CCDS12076, CCDS12076	Q96EY9
ADCK1	aarF domain containing kinase 1		FLJ39600		12471243	CCDS9869, CCDS45144	Q86TW2
ADCK2	aarF domain containing kinase 2		MGC20727			CCDS5861	Q7Z695
ADCK3	aarF domain containing kinase 3	CABC1	COQ8, SCAR9	"coenzyme Q8 homolog (yeast)"		CCDS1557	Q8NI60
ADCK4	aarF domain containing kinase 4		FLJ12229, COQ8			CCDS12562, CCDS46081	Q96D53
ADCK5	aarF domain containing kinase 5		FLJ35454			CCDS34965, CCDS34965	Q3MIX3
ADCP1	adenosine deaminase complexing protein 1				279003, 6933468, 6974523		
ADCY1	adenylate cyclase 1 (brain)		AC1		8314585	CCDS34631, CCDS75593	Q08828
ADCY2	adenylate cyclase 2 (brain)		HBAC2, KIAA1060, AC2		1427768	CCDS3872	Q08462
ADCY3	adenylate cyclase 3		AC3		9920776	CCDS1715	O60266
ADCY4	adenylate cyclase 4		AC4		7766992	CCDS9627	Q8NFM4
ADCY5	adenylate cyclase 5		AC5		10481931	CCDS3022, CCDS56274	O95622
ADCY6	adenylate cyclase 6		AC6			CCDS8767, CCDS8768	O43306
ADCY7	adenylate cyclase 7		KIAA0037, AC7		7860067	CCDS10741, CCDS73882	P51828
ADCY8	adenylate cyclase 8 (brain)	ADCY3	HBAC1, AC8		8076676	CCDS6363	P40145
ADCY9	adenylate cyclase 9		AC9		9628827	CCDS32382	O60503
ADCY10	adenylate cyclase 10 (soluble)		SAC, Sacy, SACI, HCA2, RP1-313L4.2	"soluble adenylyl cyclase", "Hypercalciuria, absorptive, 2"		CCDS1265, CCDS53426, CCDS72977	Q96PN6
ADCY10P1	adenylate cyclase 10 (soluble) pseudogene 1						
ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)		PACAP	"prepro-PACAP"	1730060	CCDS11825	P18509
ADCYAP1R1	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I		PAC1, PACAPR, PAC1R	"PACAP receptor 1"	7902709	CCDS5433, CCDS56480, CCDS56481	P41586
ADD1	adducin 1 (alpha)				1840603	CCDS3363, CCDS3364, CCDS43205, CCDS75094	P35611
ADD2	adducin 2 (beta)		ADDB		1840603	CCDS1906, CCDS1909, CCDS46318, CCDS54365	P35612
ADD3	adducin 3 (gamma)	ADDL			8893809	CCDS7561, CCDS7562	Q9UEY8
ADD3-AS1	ADD3 antisense RNA 1						
ADFN	albinism-deafness syndrome				5801459, 2349949		
ADGB	androglobin	C6orf103	FLJ23121, dJ408K24.1, CAPN16		22115833		Q8N7X0
ADGRA1	adhesion G protein-coupled receptor A1	GPR123	KIAA1828		12565841, 25713288	CCDS41580, CCDS76362	Q86SQ6
ADGRA1-AS1	adhesion G protein-coupled receptor A1 antisense RNA 1	GPR123-AS1					
ADGRA2	adhesion G protein-coupled receptor A2	GPR124	TEM5, DKFZp434C211, DKFZp434J0911, KIAA1531, FLJ14390	"tumor endothelial marker 5"	11559528, 12565841, 25713288	CCDS6097	Q96PE1
ADGRA3	adhesion G protein-coupled receptor A3	GPR125	FLJ38547, PGR21		12565841, 25713288	CCDS33964	Q8IWK6
ADGRB1	adhesion G protein-coupled receptor B1	BAI1			9533023, 25713288	CCDS64985	O14514
ADGRB2	adhesion G protein-coupled receptor B2	BAI2			9533023, 25713288	CCDS72746, CCDS72747	O60241
ADGRB3	adhesion G protein-coupled receptor B3	BAI3	KIAA0550		9533023, 25713288	CCDS4968	O60242
ADGRD1	adhesion G protein-coupled receptor D1	GPR133	DKFZp434B1272, PGR25		25713288	CCDS9272	Q6QNK2
ADGRD2	adhesion G protein-coupled receptor D2	GPR144	PGR24		25713288		Q7Z7M1
ADGRE1	adhesion G protein-coupled receptor E1	TM7LN3, EMR1			7601460, 9500513, 25713288	CCDS12175, CCDS58643, CCDS58644, CCDS58645, CCDS58646	Q14246
ADGRE2	adhesion G protein-coupled receptor E2	EMR2	CD312		25713288	CCDS32935, CCDS59361	Q9UHX3
ADGRE3	adhesion G protein-coupled receptor E3	EMR3			11279179, 12975309, 25713288	CCDS12315, CCDS74296, CCDS74297	Q9BY15
